券商買賣股票成交價量資訊
股票代碼,="0050"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,117.25,1000,0,,2,1020合　　庫,117.80,2000,0 
3,1020合　　庫,117.85,2000,0,,4,1020合　　庫,117.90,200,0 
5,1020合　　庫,118.05,955,0,,6,1020合　　庫,118.20,2000,0 
7,1020合　　庫,118.25,3000,0,,8,1020合　　庫,118.30,200,0 
9,1020合　　庫,118.35,1000,0,,10,1020合　　庫,118.40,2000,0 
11,1020合　　庫,118.60,1000,0,,12,1020合　　庫,118.65,11000,0 
13,1020合　　庫,118.75,1000,0,,14,1020合　　庫,118.80,18,5000 
15,1020合　　庫,118.85,200,10000,,16,1020合　　庫,118.90,200,0 
17,1020合　　庫,118.95,0,10000,,18,1020合　　庫,119.00,0,7000 
19,1020合　　庫,119.05,0,5000,,20,1020合　　庫,119.10,0,5000 
21,1020合　　庫,119.15,0,10000,,22,1020合　　庫,119.20,0,10000 
23,1020合　　庫,119.25,0,15002,,24,1020合　　庫,119.30,0,25000 
25,1020合　　庫,119.35,0,15000,,26,1020合　　庫,119.40,0,5000 
27,1021合庫台中,117.30,1000,0,,28,1021合庫台中,117.85,0,1000 
29,1021合庫台中,118.70,100,0,,30,1021合庫台中,119.05,2000,0 
31,1021合庫台中,119.30,0,400,,32,1022合庫台南,117.20,1000,0 
33,1022合庫台南,117.60,250,0,,34,1022合庫台南,117.90,110,0 
35,1022合庫台南,118.00,43,0,,36,1022合庫台南,119.15,200,0 
37,1022合庫台南,119.25,1000,0,,38,1022合庫台南,119.30,0,4511 
39,1022合庫台南,119.45,0,100,,40,1023合庫高雄,117.30,1000,0 
41,1023合庫高雄,117.70,100,0,,42,1023合庫高雄,117.90,50,0 
43,1023合庫高雄,118.05,45,0,,44,1023合庫高雄,118.50,45,0 
45,1023合庫高雄,118.60,0,1000,,46,1023合庫高雄,119.20,0,800 
47,1023合庫高雄,119.30,0,1000,,48,1024合庫嘉義,117.50,20,0 
49,1024合庫嘉義,117.85,1000,0,,50,1024合庫嘉義,117.90,250,0 
51,1024合庫嘉義,117.95,244,0,,52,1024合庫嘉義,118.00,156,0 
53,1025合庫基隆,117.50,50,0,,54,1025合庫基隆,117.60,500,0 
55,1025合庫基隆,117.95,200,0,,56,1025合庫基隆,119.30,0,2000 
57,1028合庫彰化,117.50,100,0,,58,1028合庫彰化,117.85,1455,0 
59,1028合庫彰化,118.70,200,0,,60,1028合庫彰化,119.00,0,200 
61,1028合庫彰化,119.15,0,903,,62,1029合庫鳳山,116.95,1000,0 
63,1029合庫鳳山,117.75,0,1000,,64,1029合庫鳳山,117.90,1000,0 
65,102A合庫新竹,117.35,1000,0,,66,102A合庫新竹,117.45,2000,0 
67,102A合庫新竹,119.15,301,0,,68,102C合庫自強,117.40,1000,0 
69,102C合庫自強,117.50,400,0,,70,102C合庫自強,117.90,1005,0 
71,102C合庫自強,118.00,100,0,,72,102C合庫自強,118.80,0,1000 
73,102C合庫自強,118.90,0,1000,,74,102C合庫自強,119.20,100,0 
75,102C合庫自強,119.25,0,1000,,76,102C合庫自強,119.40,0,1000 
77,102C合庫自強,119.45,9,0,,78,102E合庫桃園,118.60,0,1000 
79,102E合庫桃園,118.80,0,2000,,80,102E合庫桃園,119.00,0,2000 
81,102E合庫桃園,119.20,0,160,,82,102E合庫桃園,119.25,0,1000 
83,102E合庫桃園,119.30,0,2000,,84,102F合庫西台,117.95,10,0 
85,102G合庫三重,117.30,1000,0,,86,102G合庫三重,118.65,0,1000 
87,102G合庫三重,119.10,10,0,,88,102G合庫三重,119.25,0,1000 
89,102G合庫三重,119.45,0,29,,90,1030土　　銀,117.45,1000,0 
91,1030土　　銀,117.60,100,0,,92,1030土　　銀,117.80,1000,0 
93,1030土　　銀,119.05,1000,0,,94,1030土　　銀,119.25,31000,0 
95,1031土銀台中,117.00,3000,0,,96,1031土銀台中,118.30,1000,0 
97,1031土銀台中,119.10,0,2000,,98,1031土銀台中,119.25,0,3000 
99,1031土銀台中,119.30,0,1000,,100,1033土銀高雄,117.30,1000,0 
101,1033土銀高雄,118.25,0,5000,,102,1034土銀嘉義,117.30,1000,0 
103,1034土銀嘉義,117.55,30,0,,104,1034土銀嘉義,117.85,3000,0 
105,1034土銀嘉義,119.40,0,1000,,106,1035土銀新竹,116.90,1000,0 
107,1035土銀新竹,117.30,1000,0,,108,1035土銀新竹,117.35,0,1000 
109,1035土銀新竹,117.55,0,1000,,110,1035土銀新竹,117.75,200,0 
111,1036土銀玉里,117.85,1000,0,,112,1036土銀玉里,118.80,0,1000 
113,1037土銀花蓮,117.50,1000,0,,114,1038土銀和平,117.85,1000,0 
115,1039土銀士林,118.50,0,1000,,116,1039土銀士林,119.30,200,0 
117,103A土銀建國,118.00,47,0,,118,103A土銀建國,118.65,0,1000 
119,103B土銀彰化,117.90,150,0,,120,103F土銀南港,117.40,3000,0 
121,103F土銀南港,117.90,60,0,,122,1040臺    銀,116.95,0,1000 
123,1040臺    銀,117.00,1000,3000,,124,1040臺    銀,117.05,0,2000 
125,1040臺    銀,117.10,0,1000,,126,1040臺    銀,117.25,1000,0 
127,1040臺    銀,117.30,23000,0,,128,1040臺    銀,117.50,290,0 
129,1040臺    銀,117.55,0,2000,,130,1040臺    銀,117.60,3,0 
131,1040臺    銀,117.75,1030,0,,132,1040臺    銀,117.80,11000,0 
133,1040臺    銀,117.85,2000,0,,134,1040臺    銀,117.90,32474,0 
135,1040臺    銀,117.95,1033,0,,136,1040臺    銀,118.00,540,2000 
137,1040臺    銀,118.05,841,385,,138,1040臺    銀,118.40,30000,0 
